-0.34788,-0.58771,0.08528,0.0000,0.0000,0.0000,0.03000,0.00100
-0.35005,-0.55293,0.08503,0.0000,0.0000,0.0000,0.03000,0.00100
-0.35603,-0.52138,0.08486,0.0000,0.0000,0.0000,0.03000,0.00100
-0.36053,-0.50702,0.08480,0.0000,0.0000,0.0000,0.03000,0.00100
-0.36608,-0.49373,0.08477,0.0000,0.0000,0.0000,0.03000,0.00100
-0.37271,-0.48159,0.08476,0.0000,0.0000,0.0000,0.03000,0.00100
-0.38047,-0.47069,0.08478,0.0000,0.0000,0.0000,0.03000,0.00100
-0.38937,-0.46111,0.08483,0.0000,0.0000,0.0000,0.03000,0.00100
-0.39945,-0.45295,0.08490,0.0000,0.0000,0.0000,0.03000,0.00100
-0.41075,-0.44628,0.08501,0.0000,0.0000,0.0000,0.03000,0.00100
-0.42331,-0.44120,0.08514,0.0000,0.0000,0.0000,0.03000,0.00100
-0.43266,-0.43867,0.08525,0.0000,0.0000,0.0000,0.03000,0.00100
-0.44253,-0.43691,0.08538,0.0000,0.0000,0.0000,0.03000,0.00100
-0.46350,-0.43568,0.08566,0.0000,0.0000,0.0000,0.03000,0.00100
-0.48557,-0.43742,0.08598,0.0000,0.0000,0.0000,0.03000,0.00100
-0.50806,-0.44202,0.08634,0.0000,0.0000,0.0000,0.03000,0.00100
-0.53030,-0.44939,0.08671,0.0000,0.0000,0.0000,0.03000,0.00100
-0.55164,-0.45944,0.08709,0.0000,0.0000,0.0000,0.03000,0.00100
-0.57140,-0.47206,0.08747,0.0000,0.0000,0.0000,0.03000,0.00100
-0.58893,-0.48717,0.08784,0.0000,0.0000,0.0000,0.03000,0.00100
-0.60393,-0.50496,0.08820,0.0000,0.0000,0.0000,0.03000,0.00100
-0.61599,-0.52474,0.08853,0.0000,0.0000,0.0000,0.03000,0.00100
-0.62520,-0.54600,0.08883,0.0000,0.0000,0.0000,0.03000,0.00100
-0.63165,-0.56825,0.08910,0.0000,0.0000,0.0000,0.03000,0.00100
-0.63542,-0.59100,0.08934,0.0000,0.0000,0.0000,0.03000,0.00100
-0.63660,-0.61373,0.08954,0.0000,0.0000,0.0000,0.03000,0.00100
-0.63527,-0.63597,0.08971,0.0000,0.0000,0.0000,0.03000,0.00100
-0.63153,-0.65720,0.08983,0.0000,0.0000,0.0000,0.03000,0.00100
-0.62593,-0.67585,0.08990,0.0000,0.0000,0.0000,0.03000,0.00100
-0.61851,-0.69354,0.08994,0.0000,0.0000,0.0000,0.03000,0.00100
